ID,Experiment,Assay,AssayDate,Host,Rep,Counter,Live,Total,Dead,Mortality,Average,SE
1,AKG,A,6/9/2018,N2,1,M,74,507,433,0.854043393,0.727317554,0.069894022
2,AKG,A,6/9/2018,N2,2,M,88,507,419,0.82642998,,
3,AKG,A,6/9/2018,N2,3,L,226,507,281,0.554240631,,
4,AKG,A,6/9/2018,N2,4,L,165,507,342,0.674556213,,
5,AKG,A,6/9/2018,LTM1,1,M,108,479,371,0.774530271,0.782881002,0.054872043
6,AKG,A,6/9/2018,LTM1,2,L,175,479,304,0.634655532,,
7,AKG,A,6/9/2018,LTM1,3,M,81,479,398,0.830897704,,
8,AKG,A,6/9/2018,LTM1,4,L,52,479,427,0.891440501,,
9,AKG,B,9/28/2018,N2,1,mp,62,370,308,0.832432432,0.784797297,0.049398811
10,AKG,B,9/28/2018,N2,2,mp,50,370,320,0.864864865,,
11,AKG,B,9/28/2018,N2,3,mp,92,370,278,0.751351351,,
12,AKG,B,9/28/2018,N2,4,mp,181,370,189,0.510810811,,
13,AKG,B,9/28/2018,N2,5,mp,43,370,327,0.883783784,,
14,AKG,B,9/28/2018,N2,6,mp,11,370,359,0.97027027,,
15,AKG,B,9/28/2018,N2,7,mp,111,370,259,0.7,,
16,AKG,B,9/28/2018,N2,8,mp,87,370,283,0.764864865,,
17,AKG,B,9/28/2018,LTM1,1,mp,30,362,332,0.917127072,0.791781768,0.037226759
18,AKG,B,9/28/2018,LTM1,2,mp,31,362,331,0.914364641,,
19,AKG,B,9/28/2018,LTM1,3,mp,63,362,299,0.825966851,,
20,AKG,B,9/28/2018,LTM1,4,mp,93,362,269,0.743093923,,
21,AKG,B,9/28/2018,LTM1,5,mp,124,362,238,0.657458564,,
22,AKG,B,9/28/2018,LTM1,6,mp,62,362,300,0.828729282,,
23,AKG,B,9/28/2018,LTM1,7,mp,69,362,293,0.809392265,,
24,AKG,B,9/28/2018,LTM1,8,mp,131,362,231,0.638121547,,
25,PSW,C,4/29/2019,ewIR 68,1,psw,81,187,106,0.56684492,0.600713012,0.019412411
26,PSW,C,4/29/2019,ewIR 68,2,psw,74,187,113,0.604278075,,
27,PSW,C,4/29/2019,ewIR 68,3,psw,82,187,105,0.561497326,,
28,PSW,C,4/29/2019,ewIR 68,4,psw,60,187,127,0.679144385,,
29,PSW,C,4/29/2019,ewIR 68,5,psw,69,187,118,0.631016043,,
30,PSW,C,4/29/2019,ewIR 68,6,psw,82,187,105,0.561497326,,
31,PSW,C,4/29/2019,CB4856,1,psw,39,149,110,0.738255034,0.682326622,0.051132151
32,PSW,C,4/29/2019,CB4856,2,psw,16,149,133,0.89261745,,
33,PSW,C,4/29/2019,CB4856,3,psw,43,149,106,0.711409396,,
34,PSW,C,4/29/2019,CB4856,4,psw,61,149,88,0.590604027,,
35,PSW,C,4/29/2019,CB4856,5,psw,66,149,83,0.55704698,,
36,PSW,C,4/29/2019,CB4856,6,psw,59,149,90,0.604026846,,
