Experiment,AssayBlock,AssayDate,ExperimentalTreatment,Line,AssayHost,Frequency,CommonHost,Rep,Counter,Live,Total,Mortality,Ancestral,AncSE,DiffAnc,PropChange
AKG,A,6/9/2018,9N:1L,1,N2,common,N2,1,L,72,507,0.857988166,0.727317554,0.069894022,0.130670612,0.179661017
AKG,A,6/9/2018,9N:1L,1,N2,common,N2,2,M,180,507,0.644970414,0.727317554,0.069894022,-0.08234714,-0.113220339
AKG,A,6/9/2018,9N:1L,1,N2,common,N2,3,M,58,507,0.885601578,0.727317554,0.069894022,0.158284024,0.217627119
AKG,A,6/9/2018,9N:1L,1,N2,common,N2,4,M,44,507,0.91321499,0.727317554,0.069894022,0.185897436,0.255593221
AKG,A,6/9/2018,9N:1L,2,N2,common,N2,1,L,81,507,0.840236686,0.727317554,0.069894022,0.112919132,0.155254238
AKG,A,6/9/2018,9N:1L,2,N2,common,N2,2,M,75,507,0.852071006,0.727317554,0.069894022,0.124753452,0.171525424
AKG,A,6/9/2018,9N:1L,2,N2,common,N2,3,L,215,507,0.575936884,0.727317554,0.069894022,-0.15138067,-0.208135593
AKG,A,6/9/2018,9N:1L,2,N2,common,N2,4,L,149,507,0.706114398,0.727317554,0.069894022,-0.021203156,-0.029152542
AKG,A,6/9/2018,9N:1L,3,N2,common,N2,1,L,31,507,0.938856016,0.727317554,0.069894022,0.211538462,0.290847458
AKG,A,6/9/2018,9N:1L,3,N2,common,N2,2,L,83,507,0.836291913,0.727317554,0.069894022,0.108974359,0.149830509
AKG,A,6/9/2018,9N:1L,3,N2,common,N2,3,L,81,507,0.840236686,0.727317554,0.069894022,0.112919132,0.155254238
AKG,A,6/9/2018,9N:1L,3,N2,common,N2,4,M,119,507,0.765285996,0.727317554,0.069894022,0.037968442,0.05220339
AKG,A,6/9/2018,9N:1L,4,N2,common,N2,1,L,135,507,0.733727811,0.727317554,0.069894022,0.006410257,0.00881356
AKG,A,6/9/2018,9N:1L,4,N2,common,N2,2,L,49,507,0.903353057,0.727317554,0.069894022,0.176035503,0.242033899
AKG,A,6/9/2018,9N:1L,4,N2,common,N2,3,L,90,507,0.822485207,0.727317554,0.069894022,0.095167653,0.130847458
AKG,A,6/9/2018,9N:1L,4,N2,common,N2,4,L,134,507,0.735700197,0.727317554,0.069894022,0.008382643,0.011525424
AKG,A,6/9/2018,9N:1L,5,N2,common,N2,1,L,177,507,0.650887574,0.727317554,0.069894022,-0.07642998,-0.105084745
AKG,A,6/9/2018,9N:1L,5,N2,common,N2,2,L,106,507,0.790927022,0.727317554,0.069894022,0.063609468,0.087457627
AKG,A,6/9/2018,9N:1L,5,N2,common,N2,3,M,78,507,0.846153846,0.727317554,0.069894022,0.118836292,0.163389831
AKG,A,6/9/2018,9N:1L,5,N2,common,N2,4,M,113,507,0.777120316,0.727317554,0.069894022,0.049802762,0.068474577
AKG,A,6/9/2018,9N:1L,6,N2,common,N2,1,L,172,507,0.660749507,0.727317554,0.069894022,-0.066568047,-0.091525423
AKG,A,6/9/2018,9N:1L,6,N2,common,N2,2,M,82,507,0.8382643,0.727317554,0.069894022,0.110946746,0.152542373
AKG,A,6/9/2018,9N:1L,6,N2,common,N2,3,M,59,507,0.883629191,0.727317554,0.069894022,0.156311637,0.214915255
AKG,A,6/9/2018,9N:1L,6,N2,common,N2,4,M,64,507,0.873767258,0.727317554,0.069894022,0.146449704,0.201355933
AKG,A,6/9/2018,3N:1L,7,N2,common,N2,1,M,64,507,0.873767258,0.727317554,0.069894022,0.146449704,0.201355933
AKG,A,6/9/2018,3N:1L,7,N2,common,N2,2,M,124,507,0.755424063,0.727317554,0.069894022,0.028106509,0.038644068
AKG,A,6/9/2018,3N:1L,7,N2,common,N2,3,L,129,507,0.74556213,0.727317554,0.069894022,0.018244576,0.025084746
AKG,A,6/9/2018,3N:1L,7,N2,common,N2,4,L,23,507,0.954635108,0.727317554,0.069894022,0.227317554,0.312542373
AKG,A,6/9/2018,3N:1L,8,N2,common,N2,1,M,63,507,0.875739645,0.727317554,0.069894022,0.148422091,0.204067797
AKG,A,6/9/2018,3N:1L,8,N2,common,N2,2,L,151,507,0.702169625,0.727317554,0.069894022,-0.025147929,-0.034576271
AKG,A,6/9/2018,3N:1L,8,N2,common,N2,3,M,56,507,0.889546351,0.727317554,0.069894022,0.162228797,0.223050848
AKG,A,6/9/2018,3N:1L,8,N2,common,N2,4,M,98,507,0.806706114,0.727317554,0.069894022,0.07938856,0.109152543
AKG,A,6/9/2018,3N:1L,9,N2,common,N2,1,M,90,507,0.822485207,0.727317554,0.069894022,0.095167653,0.130847458
AKG,A,6/9/2018,3N:1L,9,N2,common,N2,2,L,41,507,0.91913215,0.727317554,0.069894022,0.191814596,0.263728814
AKG,A,6/9/2018,3N:1L,9,N2,common,N2,3,L,79,507,0.84418146,0.727317554,0.069894022,0.116863906,0.160677966
AKG,A,6/9/2018,3N:1L,9,N2,common,N2,4,M,59,507,0.883629191,0.727317554,0.069894022,0.156311637,0.214915255
AKG,A,6/9/2018,3N:1L,10,N2,common,N2,1,L,285,507,0.437869822,0.727317554,0.069894022,-0.289447732,-0.397966101
AKG,A,6/9/2018,3N:1L,10,N2,common,N2,2,L,136,507,0.731755424,0.727317554,0.069894022,0.00443787,0.006101695
AKG,A,6/9/2018,3N:1L,10,N2,common,N2,3,M,140,507,0.723865878,0.727317554,0.069894022,-0.003451676,-0.004745762
AKG,A,6/9/2018,3N:1L,10,N2,common,N2,4,L,149,507,0.706114398,0.727317554,0.069894022,-0.021203156,-0.029152542
AKG,A,6/9/2018,3N:1L,11,N2,common,N2,1,M,51,507,0.899408284,0.727317554,0.069894022,0.17209073,0.23661017
AKG,A,6/9/2018,3N:1L,11,N2,common,N2,2,L,119,507,0.765285996,0.727317554,0.069894022,0.037968442,0.05220339
AKG,A,6/9/2018,3N:1L,11,N2,common,N2,3,L,167,507,0.67061144,0.727317554,0.069894022,-0.056706114,-0.077966101
AKG,A,6/9/2018,3N:1L,11,N2,common,N2,4,M,95,507,0.812623274,0.727317554,0.069894022,0.08530572,0.117288136
AKG,A,6/9/2018,3N:1L,12,N2,common,N2,1,M,42,507,0.917159763,0.727317554,0.069894022,0.189842209,0.26101695
AKG,A,6/9/2018,3N:1L,12,N2,common,N2,2,L,112,507,0.779092702,0.727317554,0.069894022,0.051775148,0.071186441
AKG,A,6/9/2018,3N:1L,12,N2,common,N2,3,L,67,507,0.867850099,0.727317554,0.069894022,0.140532545,0.193220339
AKG,A,6/9/2018,3N:1L,12,N2,common,N2,4,M,50,507,0.901380671,0.727317554,0.069894022,0.174063117,0.239322034
AKG,A,6/9/2018,1N:3L,13,N2,rare,CF3-wt-inv,1,M,181,507,0.642998028,0.727317554,0.069894022,-0.084319526,-0.115932203
AKG,A,6/9/2018,1N:3L,13,N2,rare,CF3-wt-inv,2,L,75,507,0.852071006,0.727317554,0.069894022,0.124753452,0.171525424
AKG,A,6/9/2018,1N:3L,13,N2,rare,CF3-wt-inv,3,L,195,507,0.615384615,0.727317554,0.069894022,-0.111932939,-0.153898305
AKG,A,6/9/2018,1N:3L,13,N2,rare,CF3-wt-inv,4,L,146,507,0.712031558,0.727317554,0.069894022,-0.015285996,-0.021016949
