Experiment,Assay,AssayDate,TreatmentGroup,Line,Host,Rep,Counter,Live,Total,Mortality
AKG,D,6/14/2018,Control,1,N2,1,M,90,494,0.817813765
AKG,D,6/14/2018,Control,1,N2,2,M,108,494,0.781376518
AKG,D,6/14/2018,Control,1,N2,3,L,76,494,0.846153846
AKG,D,6/14/2018,Control,1,N2,4,L,126,494,0.744939271
AKG,D,6/14/2018,Control,2,N2,1,L,54,494,0.890688259
AKG,D,6/14/2018,Control,2,N2,2,L,115,494,0.767206478
AKG,D,6/14/2018,Control,2,N2,3,L,98,494,0.801619433
AKG,D,6/14/2018,Control,2,N2,4,M,196,494,0.603238866
AKG,D,6/14/2018,Control,3,N2,1,L,53,494,0.892712551
AKG,D,6/14/2018,Control,3,N2,2,M,60,494,0.87854251
AKG,D,6/14/2018,Control,3,N2,3,L,77,494,0.844129555
AKG,D,6/14/2018,Control,3,N2,4,L,44,494,0.910931174
AKG,D,6/14/2018,Control,4,N2,1,L,74,494,0.850202429
AKG,D,6/14/2018,Control,4,N2,2,M,67,494,0.86437247
AKG,D,6/14/2018,Control,4,N2,3,M,26,494,0.947368421
AKG,D,6/14/2018,Control,4,N2,4,M,61,494,0.876518219
AKG,D,6/14/2018,Control,5,N2,1,L,107,494,0.78340081
AKG,D,6/14/2018,Control,5,N2,2,L,30,494,0.939271255
AKG,D,6/14/2018,Control,5,N2,3,L,53,494,0.892712551
AKG,D,6/14/2018,Control,5,N2,4,L,132,494,0.732793522
AKG,D,6/14/2018,Control,6,N2,1,M,95,494,0.807692308
AKG,D,6/14/2018,Control,6,N2,2,M,78,494,0.842105263
AKG,D,6/14/2018,Control,6,N2,3,L,98,494,0.801619433
AKG,D,6/14/2018,Control,6,N2,4,L,145,494,0.706477733
AKG,D,6/14/2018,Homogeneous,7,N2,1,L,42,494,0.914979757
AKG,D,6/14/2018,Homogeneous,7,N2,2,L,36,494,0.927125506
AKG,D,6/14/2018,Homogeneous,7,N2,3,M,23,494,0.953441296
AKG,D,6/14/2018,Homogeneous,7,N2,4,L,27,494,0.94534413
AKG,D,6/14/2018,Homogeneous,8,N2,1,L,55,494,0.888663968
AKG,D,6/14/2018,Homogeneous,8,N2,2,L,49,494,0.900809717
AKG,D,6/14/2018,Homogeneous,8,N2,3,L,64,494,0.870445344
AKG,D,6/14/2018,Homogeneous,8,N2,4,L,27,494,0.94534413
AKG,D,6/14/2018,Homogeneous,9,N2,1,L,15,494,0.969635628
AKG,D,6/14/2018,Homogeneous,9,N2,2,M,81,494,0.836032389
AKG,D,6/14/2018,Homogeneous,9,N2,3,L,56,494,0.886639676
AKG,D,6/14/2018,Homogeneous,9,N2,4,M,47,494,0.9048583
AKG,D,6/14/2018,Homogeneous,10,N2,1,L,21,494,0.957489879
AKG,D,6/14/2018,Homogeneous,10,N2,2,L,35,494,0.929149798
AKG,D,6/14/2018,Homogeneous,10,N2,3,L,23,494,0.953441296
AKG,D,6/14/2018,Homogeneous,10,N2,4,L,31,494,0.937246964
AKG,D,6/14/2018,Homogeneous,11,N2,1,L,71,494,0.856275304
AKG,D,6/14/2018,Homogeneous,11,N2,2,L,111,494,0.775303644
AKG,D,6/14/2018,Homogeneous,11,N2,3,M,195,494,0.605263158
AKG,D,6/14/2018,Homogeneous,11,N2,4,M,169,494,0.657894737
AKG,D,6/14/2018,Homogeneous,12,N2,1,L,51,494,0.896761134
AKG,D,6/14/2018,Homogeneous,12,N2,2,L,35,494,0.929149798
AKG,D,6/14/2018,Homogeneous,12,N2,3,L,56,494,0.886639676
AKG,D,6/14/2018,Homogeneous,12,N2,4,L,52,494,0.894736842
AKG,D,6/14/2018,Control,1,LTM1,1,L,96,498,0.807228916
AKG,D,6/14/2018,Control,1,LTM1,2,M,55,498,0.889558233
AKG,D,6/14/2018,Control,1,LTM1,3,L,68,498,0.863453815
AKG,D,6/14/2018,Control,1,LTM1,4,L,67,498,0.865461847
AKG,D,6/14/2018,Control,2,LTM1,1,M,96,498,0.807228916
AKG,D,6/14/2018,Control,2,LTM1,2,M,98,498,0.803212851
AKG,D,6/14/2018,Control,2,LTM1,3,M,43,498,0.913654618
AKG,D,6/14/2018,Control,2,LTM1,4,L,107,498,0.785140562
AKG,D,6/14/2018,Control,3,LTM1,1,L,40,498,0.919678715
AKG,D,6/14/2018,Control,3,LTM1,2,M,31,498,0.937751004
AKG,D,6/14/2018,Control,3,LTM1,3,L,31,498,0.937751004
AKG,D,6/14/2018,Control,3,LTM1,4,L,218,498,0.562248996
AKG,D,6/14/2018,Control,4,LTM1,1,M,50,498,0.899598394
AKG,D,6/14/2018,Control,4,LTM1,2,M,53,498,0.893574297
AKG,D,6/14/2018,Control,4,LTM1,3,L,110,498,0.779116466
AKG,D,6/14/2018,Control,4,LTM1,4,L,114,498,0.771084337
AKG,D,6/14/2018,Control,5,LTM1,1,M,53,498,0.893574297
AKG,D,6/14/2018,Control,5,LTM1,2,L,152,498,0.694779116
AKG,D,6/14/2018,Control,5,LTM1,3,L,52,498,0.895582329
AKG,D,6/14/2018,Control,5,LTM1,4,L,168,498,0.662650602
AKG,D,6/14/2018,Control,6,LTM1,1,M,55,498,0.889558233
AKG,D,6/14/2018,Control,6,LTM1,2,L,68,498,0.863453815
AKG,D,6/14/2018,Control,6,LTM1,3,M,49,498,0.901606426
AKG,D,6/14/2018,Control,6,LTM1,4,L,59,498,0.881526104
AKG,D,6/14/2018,Homogeneous,13,LTM1,1,M,64,498,0.871485944
AKG,D,6/14/2018,Homogeneous,13,LTM1,2,M,40,498,0.919678715
AKG,D,6/14/2018,Homogeneous,13,LTM1,3,L,23,498,0.953815261
AKG,D,6/14/2018,Homogeneous,13,LTM1,4,L,34,498,0.931726908
AKG,D,6/14/2018,Homogeneous,14,LTM1,1,M,131,498,0.736947791
AKG,D,6/14/2018,Homogeneous,14,LTM1,2,L,44,498,0.911646586
AKG,D,6/14/2018,Homogeneous,14,LTM1,3,L,34,498,0.931726908
AKG,D,6/14/2018,Homogeneous,14,LTM1,4,L,32,498,0.935742972
AKG,D,6/14/2018,Homogeneous,15,LTM1,1,L,208,498,0.582329317
AKG,D,6/14/2018,Homogeneous,15,LTM1,2,L,48,498,0.903614458
AKG,D,6/14/2018,Homogeneous,15,LTM1,3,L,33,498,0.93373494
AKG,D,6/14/2018,Homogeneous,15,LTM1,4,L,118,498,0.763052209
AKG,D,6/14/2018,Homogeneous,16,LTM1,1,L,55,498,0.889558233
AKG,D,6/14/2018,Homogeneous,16,LTM1,2,M,109,498,0.781124498
AKG,D,6/14/2018,Homogeneous,16,LTM1,3,L,36,498,0.927710843
AKG,D,6/14/2018,Homogeneous,16,LTM1,4,L,42,498,0.915662651
AKG,D,6/14/2018,Homogeneous,17,LTM1,1,L,68,498,0.863453815
AKG,D,6/14/2018,Homogeneous,17,LTM1,2,M,113,498,0.773092369
AKG,D,6/14/2018,Homogeneous,17,LTM1,3,L,128,498,0.742971888
AKG,D,6/14/2018,Homogeneous,17,LTM1,4,L,68,498,0.863453815
AKG,D,6/14/2018,Homogeneous,18,LTM1,1,L,46,498,0.907630522
AKG,D,6/14/2018,Homogeneous,18,LTM1,2,L,37,498,0.925702811
