,id,Frequency,change,Host,Common,,Common,Rare,Cmean,Rmean,CSD,RSD,CN,RN,SW,d,J,Vd,g,Vg
25,25,common,-0.014541333,CB4856,CB4856,,CB4856,ewIR68,0.006804647,-0.052733167,0.028467478,0.048133173,6,6,0.03954238,-1.505670959,0.923076923,0.427793543,-1.389850116,0.364510475
26,26,common,0.058165667,CB4856,CB4856,,ewIR68,CB4856,-0.068627472,-0.04481735,0.084159298,0.044958053,6,6,0.067468563,0.352906913,0.923076923,0.338522637,0.325760227,0.288445324
27,27,common,0.0076062,CB4856,CB4856,,LTM1,N2,0.010289851,-0.030020714,0.051134315,0.100977163,12,12,0.080034697,-0.503663612,0.965517241,0.171951605,-0.486295901,0.160297334
28,28,common,-0.01621925,CB4856,CB4856,,N2,LTM1,0.033974873,0.002536605,0.046941231,0.071589941,12,12,0.060533457,-0.519353587,0.965517241,0.172286003,-0.501444843,0.160609068
29,29,common,0.0170022,CB4856,CB4856,,,,,,,,,,,,,,,
30,30,common,-0.0111856,CB4856,CB4856,,,,,,,,,,,,,,,
61,25,rare,-0.005347333,ewir68,CB4856,,,,,,,,,,,,,,,
62,26,rare,-0.022281333,ewir68,CB4856,,,,,,,,,,,,,,,
63,27,rare,-0.040107,ewir68,CB4856,,,,,,,,,,,,,,,
64,28,rare,-0.062388667,ewir68,CB4856,,,,,,,,,,,,,,,
65,29,rare,-0.043672,ewir68,CB4856,,,,,,,,,,,,,,,
66,30,rare,-0.142602667,ewir68,CB4856,,,,,,,,,,,,,,,
31,31,common,-0.0017825,ewir68,ewir68,,,,,,,,,,,,,,,
32,32,common,0.020499167,ewir68,ewir68,,,,,,,,,,,,,,,
33,33,common,-0.002673833,ewir68,ewir68,,,,,,,,,,,,,,,
34,34,common,-0.175579333,ewir68,ewir68,,,,,,,,,,,,,,,
35,35,common,-0.1087345,ewir68,ewir68,,,,,,,,,,,,,,,
36,36,common,-0.143493833,ewir68,ewir68,,,,,,,,,,,,,,,
67,31,rare,-0.072707,CB4856,ewir68,,,,,,,,,,,,,,,
68,32,rare,-0.001118667,CB4856,ewir68,,,,,,,,,,,,,,,
